crop,yield,rainfall,temperature
Maize,36613,1485,16.37
Potatoes,66667,1485,16.37
Rice,23333,1485,16.37
Sorghum,12500,1485,16.37
Soybeans,7000,1485,16.37
Wheat,30197,1485,16.37
Maize,29068,1485,15.36
Potatoes,77818,1485,15.36
Rice,28538,1485,15.36
Sorghum,6667,1485,15.36
Soybeans,6066,1485,15.36
Wheat,20698,1485,15.36
Maize,24876,1485,16.06
Potatoes,82920,1485,16.06
Rice,40000,1485,16.06
Sorghum,3747,1485,16.06
Soybeans,4507,1485,16.06
Wheat,24388,1485,16.06
Maize,24185,1485,16.05
Potatoes,98446,1485,16.05
Rice,41786,1485,16.05
Soybeans,7998,1485,16.05
Wheat,29976,1485,16.05
Maize,25848,1485,16.96
Potatoes,81404,1485,16.96
Soybeans,7927,1485,16.96
Wheat,24745,1485,16.96
Maize,31300,1485,15.67
Potatoes,111323,1485,15.67
Soybeans,11791,1485,15.67
Wheat,28703,1485,15.67
Maize,32604,1485,15.64
Potatoes,106138,1485,15.64
Soybeans,15480,1485,15.64
Wheat,21741,1485,15.64
Maize,31862,1485,15.9
Potatoes,109874,1485,15.9
Soybeans,12768,1485,15.9
Wheat,28516,1485,15.9
Maize,33416,1485,16.27
Potatoes,127212,1485,16.27
Soybeans,14327,1485,16.27
Wheat,28037,1485,16.27
Maize,37455,1485,16.57
Potatoes,142018,1485,16.57
Soybeans,17143,1485,16.57
Wheat,24954,1485,16.57
Maize,38811,1485,16.67
Potatoes,141228,1485,16.67
Soybeans,15000,1485,16.67
Wheat,30455,1485,16.67
Maize,38135,1485,16.59
Potatoes,148818,1485,16.59
Soybeans,20000,1485,16.59
Wheat,28220,1485,16.59
Maize,39460,1485,16.47
Potatoes,153868,1485,16.47
Soybeans,20000,1485,16.47
Wheat,31617,1485,16.47
Maize,46197,1485,16.16
Potatoes,149346,1485,16.16
Soybeans,13333,1485,16.16
Wheat,31130,1485,16.16
Maize,45442,1485,15.67
Potatoes,167061,1485,15.67
Soybeans,17500,1485,15.67
Wheat,31582,1485,15.67
Maize,50111,1485,15.92
Potatoes,170745,1485,15.92
Soybeans,20000,1485,15.92
Wheat,30787,1485,15.92
Maize,46732,1485,16.67
Potatoes,188902,1485,16.67
Soybeans,20000,1485,16.67
Wheat,35496,1485,16.67
Maize,50000,1485,16.71
Potatoes,193878,1485,16.71
Soybeans,20000,1485,16.71
Wheat,40168,1485,16.71
Maize,55693,1485,16.73
Potatoes,219780,1485,16.73
Soybeans,16667,1485,16.73
Wheat,40229,1485,16.73
Maize,66790,1485,16.52
Potatoes,231111,1485,16.52
Soybeans,16667,1485,16.52
Wheat,39905,1485,16.52
Maize,59869,1485,16.45
Potatoes,242211,1485,16.45
Soybeans,18519,1485,16.45
Wheat,42301,1485,16.45
Maize,67290,1485,16.7
Potatoes,250538,1485,16.7
Soybeans,13333,1485,16.7
Wheat,41096,1485,16.7
Maize,69533,1485,17.41
Potatoes,260110,1485,17.41
Soybeans,10000,1485,17.41
Wheat,41292,1485,17.41
Maize,16500,89,17.48
Potatoes,78936,89,17.48
Rice,28000,89,17.48
Sorghum,16571,89,17.48
Wheat,6315,89,17.48
Maize,19231,89,16.26
Potatoes,90747,89,16.26
Rice,26786,89,16.26
Sorghum,24231,89,16.26
Wheat,10809,89,16.26
Maize,22828,89,16.27
Potatoes,107917,89,16.27
Rice,24733,89,16.27
Sorghum,40000,89,16.27
Wheat,9939,89,16.27
Maize,12500,89,17
Potatoes,111215,89,17
Rice,23111,89,17
Sorghum,50000,89,17
Wheat,8097,89,17
Maize,4512,89,17.88
Potatoes,95078,89,17.88
Rice,21374,89,17.88
Wheat,7999,89,17.88
Maize,16115,89,17.36
Potatoes,136768,89,17.36
Rice,19598,89,17.36
Sorghum,12667,89,17.36
Wheat,8924,89,17.36
Maize,17154,89,16.76
Potatoes,134629,89,16.76
Rice,17861,89,16.76
Sorghum,14750,89,16.76
Wheat,13090,89,16.76
Maize,21417,89,17.84
Potatoes,141042,89,17.84
Rice,15000,89,17.84
Sorghum,40000,89,17.84
Wheat,8016,89,17.84
Maize,17222,89,17.14
Potatoes,160256,89,17.14
Rice,15000,89,17.14
Sorghum,24500,89,17.14
Wheat,8847,89,17.14
Maize,22375,89,17.97
Potatoes,153532,89,17.97
Rice,13942,89,17.97
Sorghum,27000,89,17.97
Wheat,10711,89,17.97
Maize,36186,89,17.9
Potatoes,166143,89,17.9
Rice,13052,89,17.9
Sorghum,69500,89,17.9
Wheat,9194,89,17.9
Maize,27175,89,18.13
Potatoes,147018,89,18.13
Rice,12314,89,18.13
Sorghum,27750,89,18.13
Wheat,11104,89,18.13
Maize,33480,89,17.85
Potatoes,183774,89,17.85
Rice,12959,89,17.85
Sorghum,33900,89,17.85
Wheat,10739,89,17.85
Maize,31729,89,17.38
Potatoes,203585,89,17.38
Rice,12829,89,17.38
Sorghum,43316,89,17.38
Wheat,13582,89,17.38
Maize,33864,89,17.19
Potatoes,216267,89,17.19
Rice,12998,89,17.19
Sorghum,33486,89,17.19
Wheat,15057,89,17.19
Maize,65668,89,18.13
Potatoes,220689,89,18.13
Rice,12769,89,18.13
Sorghum,56728,89,18.13
Wheat,15068,89,18.13
Maize,85625,89,17.42
Potatoes,189927,89,17.42
Rice,13375,89,17.42
Sorghum,119059,89,17.42
Wheat,12742,89,17.42
Maize,44714,89,17.55
Potatoes,236393,89,17.55
Rice,13952,89,17.55
Sorghum,61786,89,17.55
Wheat,11038,89,17.55
Maize,30914,89,17.78
Potatoes,250764,89,17.78
Rice,14594,89,17.78
Sorghum,90465,89,17.78
Wheat,15975,89,17.78
Maize,25827,89,17.59
Potatoes,270526,89,17.59
Rice,15305,89,17.59
Sorghum,30286,89,17.59
Wheat,14838,89,17.59
Maize,23374,89,17.79
Potatoes,292806,89,17.79
Rice,16081,89,17.79
Sorghum,100000,89,17.79
Wheat,17405,89,17.79
Maize,25583,89,17.91
Potatoes,304291,89,17.91
Rice,16667,89,17.91
Sorghum,206000,89,17.91
Wheat,17639,89,17.91
Maize,33649,89,17.65
Potatoes,303218,89,17.65
Rice,17778,89,17.65
Sorghum,60000,89,17.65
Wheat,19100,89,17.65
Cassava,41177,1010,24.12
Maize,2736,1010,24.12
Potatoes,40000,1010,24.12
Rice,9512,1010,24.12
Spotatoes,89342,1010,24.12
Wheat,7995,1010,24.12
Cassava,40295,1010,24.02
Maize,4013,1010,24.02
Potatoes,40000,1010,24.02
Rice,10000,1010,24.02
Spotatoes,83001,1010,24.02
Wheat,8000,1010,24.02
Cassava,42295,1010,23.96
Maize,3778,1010,23.96
Potatoes,40000,1010,23.96
Rice,9106,1010,23.96
Spotatoes,90000,1010,23.96
Wheat,8000,1010,23.96
Cassava,42295,1010,24.15
Maize,2627,1010,24.15
Potatoes,70000,1010,24.15
Rice,8000,1010,24.15
Spotatoes,88095,1010,24.15
Wheat,8876,1010,24.15
Cassava,58596,1010,24.04
Maize,2463,1010,24.04
Potatoes,90000,1010,24.04
Rice,8750,1010,24.04
Spotatoes,83192,1010,24.04
Wheat,10000,1010,24.04
Cassava,51000,1010,24.56
Maize,3517,1010,24.56
Potatoes,76738,1010,24.56
Rice,14615,1010,24.56
Spotatoes,81138,1010,24.56
Wheat,11855,1010,24.56
Cassava,48077,1010,24.11
Maize,6993,1010,24.11
Potatoes,70000,1010,24.11
Rice,17500,1010,24.11
Spotatoes,85455,1010,24.11
Wheat,13738,1010,24.11
Cassava,44205,1010,24.06
Maize,5959,1010,24.06
Potatoes,68571,1010,24.06
Rice,20000,1010,24.06
Spotatoes,78098,1010,24.06
Wheat,15509,1010,24.06
Cassava,55728,1010,24.96
Maize,7396,1010,24.96
Potatoes,62724,1010,24.96
Rice,20000,1010,24.96
Spotatoes,76256,1010,24.96
Wheat,17143,1010,24.96
Cassava,59821,1010,24.37
Maize,6361,1010,24.37
Potatoes,54597,1010,24.37
Rice,14235,1010,24.37
Spotatoes,82865,1010,24.37
Wheat,17391,1010,24.37
Cassava,82992,1010,24.41
Maize,5745,1010,24.41
Potatoes,29885,1010,24.41
Rice,13454,1010,24.41
Sorghum,3333,1010,24.41
Soybeans,2333,1010,24.41
Spotatoes,34938,1010,24.41
Wheat,17023,1010,24.41
Cassava,94072,1010,24.43
Maize,5754,1010,24.43
Potatoes,42552,1010,24.43
Rice,13701,1010,24.43
Sorghum,3571,1010,24.43
Soybeans,2500,1010,24.43
Spotatoes,44458,1010,24.43
Wheat,16667,1010,24.43
Cassava,110071,1010,24.79
Maize,6706,1010,24.79
Potatoes,42754,1010,24.79
